RIG040,"Rigitone R 8-15-20 200/0",0.4,0.7,0.4,0.25,0.15,0.1
RIG041,"Rigitone R 8-15-20 200/50**",0.45,0.5,0.45,0.35,0.35,0.35
RIG042,"Rigitone R 8-15-20 400/50**",0.45,0.45,0.45,0.4,0.4,0.4
RIG043,"Rigitone R 8-15-20 Super 30/30*",0.25,0.55,0.65,0.65,0.5,0.5
RIG044,"Rigitone R 8-15-20 Super 50/0",0.15,0.4,0.7,0.75,0.45,0.4
RIG045,"Rigitone R 8-15-20 Super 50/50**",0.45,0.6,0.65,0.6,0.45,0.55
RIG046,"Rigitone R 8-15-20 Super 200/0",0.35,0.75,0.55,0.55,0.4,0.3
RIG047,"Rigitone R 8-15-20 Super 200/50**",0.55,0.65,0.6,0.6,0.55,0.55
RIG048,"Rigitone R 8-15-20 Super 400/50**",0.55,0.6,0.6,0.65,0.6,0.7
RIG049,"Rigitone R 12-20-35 30/30*",0.25,0.55,0.7,0.65,0.5,0.45
RIG050,"Rigitone R 12-20-35 50/0",0.2,0.3,0.6,0.7,0.45,0.45
RIG051,"Rigitone R 12-20-35 50/50**",0.45,0.7,0.65,0.6,0.45,0.45
RIG052,"Rigitone R 12-20-35 200/0",0.35,0.55,0.7,0.7,0.4,0.4
RIG053,"Rigitone R 12-20-35 200/50**",0.55,0.65,0.7,0.55,0.45,0.45
RIG054,"Rigitone R 12-20-35 400/50**",0.55,0.55,0.65,0.65,0.6,0.45
RIG055,"Rigitone 8/18 Q 30/30*",0.2,0.55,0.75,0.85,0.8,0.85
RIG056,"Rigitone 8/18 Q 50/0",0.15,0.25,0.6,0.85,0.65,0.5
RIG057,"Rigitone 8/18 Q 50/50**",0.4,0.7,0.8,0.8,0.75,0.8
RIG058,"Rigitone 8/18 Q 200/0",0.4,0.65,0.8,0.65,0.55,0.5
RIG059,"Rigitone 8/18 Q 200/50**",0.6,0.75,0.75,0.75,0.75,0.85
RIG060,"Rigitone 8/18 Q 400/50**",0.65,0.65,0.7,0.85,0.85,0.85
RIG061,"Rigitone 12/25 Q 30/30*",0.2,0.55,0.8,0.95,0.9,0.8
RIG062,"Rigitone 12/25 Q 50/0",0.1,0.3,0.65,0.9,0.8,0.6
RIG063,"Rigitone 12/25 Q 50/50**",0.35,0.75,0.9,0.9,0.8,0.8
RIG064,"Rigitone 12/25 Q 200/0",0.35,0.75,0.9,0.7,0.65,0.5
RIG065,"Rigitone 12/25 Q 200/50**",0.7,0.85,0.85,0.9,0.85,0.9
RIG066,"Rigitone 12/25 Q 400/50**",0.7,0.75,0.85,0.9,0.95,0.9


GYP001,"Gyptone BIG Quattro 41 60/-",0.2,0.35,0.65,0.8,0.65,0.55
GYP002,"Gyptone BIG Quattro 41 60/50*",0.58,0.66,0.74,0.72,0.69,0.62
GYP003,"Gyptone BIG Quattro 41 100/75**",0.65,0.9,0.85,0.65,0.6,0.55
GYP004,"Gyptone BIG Quattro 41 200/0",0.64,0.63,0.75,0.63,0.6,0.53
GYP005,"Gyptone BIG Quattro 41 400/50*",0.61,0.58,0.7,0.74,0.7,0.63
GYP006,"Gyptone BIG Quattro 42 50/0",0.2,0.4,0.6,0.6,0.45,0.4
GYP007,"Gyptone BIG Quattro 42 60/50*",0.63,0.54,0.55,0.52,0.5,0.47
GYP008,"Gyptone BIG Quattro 42 100/75**",0.5,0.75,0.75,0.55,0.45,0.4
GYP009,"Gyptone BIG Quattro 42 200/0",0.58,0.51,0.58,0.49,0.44,0.42
GYP010,"Gyptone BIG Quattro 42 400/50*",0.48,0.47,0.54,0.54,0.53,0.5
GYP011,"Gyptone BIG Quattro 46 60/0",0.2,0.45,0.6,0.5,0.45,0.4
GYP012,"Gyptone BIG Quattro 46 60/50*",0.63,0.61,0.59,0.53,0.47,0.43
GYP013,"Gyptone BIG Quattro 46 100/75**",0.6,0.75,0.75,0.55,0.45,0.4
GYP014,"Gyptone BIG Quattro 46 200/0",0.65,0.6,0.59,0.45,0.4,0.38
GYP015,"Gyptone BIG Quattro 46 400/0",0.65,0.6,0.55,0.45,0.4,0.35
GYP016,"Gyptone BIG Quattro 46 400/50*",0.54,0.51,0.57,0.54,0.45,0.4
GYP017,"Gyptone BIG Quattro 46 400/100**",0.6,0.65,0.65,0.55,0.45,0.4
GYP018,"Gyptone BIG Quattro 47 60/0",0.35,0.45,0.5,0.4,0.3,0.3
GYP019,"Gyptone BIG Quattro 47 60/50*",0.56,0.35,0.33,0.33,0.36,0.33
GYP020,"Gyptone BIG Quattro 47 100/75**",0.6,0.65,0.55,0.4,0.3,0.25
GYP021,"Gyptone BIG Quattro 47 200/0",0.44,0.34,0.35,0.33,0.32,0.3
GYP022,"Gyptone BIG Quattro 47 400/50*",0.36,0.33,0.35,0.35,0.38,0.34
GYP023,"Gyptone BIG Line 6 60/0",0.15,0.35,0.7,0.65,0.45,0.3
GYP024,"Gyptone BIG Line 6 60/50*",0.64,0.61,0.63,0.59,0.51,0.47
GYP025,"Gyptone BIG Line 6 200/0",0.62,0.59,0.66,0.53,0.44,0.41
GYP026,"Gyptone BIG Line 6 400/0",0.7,0.65,0.6,0.5,0.4,0.35
GYP027,"Gyptone BIG Line 6 400/50*",0.56,0.52,0.62,0.6,0.54,0.48
GYP028,"Gyptone BIG Line 6 400/100**",0.7,0.7,0.65,0.65,0.5,0.45
GYP029,"Gyptone BIG Sixto 63 60/0",0.15,0.35,0.6,0.65,0.6,0.5
GYP030,"Gyptone BIG Sixto 63 60/50*",0.59,0.61,0.66,0.63,0.6,0.6
GYP031,"Gyptone BIG Sixto 63 200/0",0.56,0.57,0.67,0.59,0.56,0.56
GYP032,"Gyptone BIG Sixto 63 300/70**",0.45,0.6,0.65,0.7,0.65,0.65
